Name,Rating,Price
ديل لاب توب فوسترو 3530 N3404PVNB3530U08 i5-1334U 16GB 512SSD 15.6 انش FHD W11P -CNT009,N/A,"‏28,999.00 جنيه"
لابتوب من ديل، بمعالج انتل، شاشة 15.6 إنش، وذاكرة رام 8 جيجابايت,N/A,"‏27,999.00 جنيه"
لابتوب من لينوفو، بمعالج انتل، شاشة 15.6 إنش، وذاكرة رام 16 جيجابايت,2.9 من 5 نجوم,"‏32,770.00 جنيه"
لابتوب من ام اس اي، بمعالج ايه ام دي، شاشة 14 بوصة، وذاكرة رام 8 جيجابايت,4.3 من 5 نجوم,"‏20,999.00 جنيه"
لاب توب ديل بريسيجن 7540 وورك ستيشن بشاشة 15.6 بوصة FHD ومعالج انتل كور i7-9750H الجيل التاسع وذاكرة رام 32GB وSSD 512GB وانفيديا كوادرو T1000 وويندوز 10 برو (مجدد),4.6 من 5 نجوم,"‏33,800.00 جنيه"
لابتوب من لينوفو، بمعالج انتل، شاشة 16 بوصة، وذاكرة رام 16 جيجابايت,3.9 من 5 نجوم,"‏80,050.00 جنيه"
,4.6 من 5 نجوم,"‏48,000.00 جنيه"
لابتوب من لينوفو، بمعالج AMD، شاشة 15.6 إنش، وذاكرة رام 16 جيجابايت,3.4 من 5 نجوم,"‏38,150.00 جنيه"
لابتوب من لينوفو، بمعالج AMD، شاشة 15.6 إنش، وذاكرة رام 32 جيجابايت,2.3 من 5 نجوم,"‏89,609.00 جنيه"
لاب توب انسبيرون 3520 بشاشة FHD مقاس 15.6 بوصة ومعالج انتل كور i3-1215U وذاكرة رام 8 جيجا وSSD 512 جيجا وويندوز 11 (مع قماش من المايكروفايبر) من ديل - أسود كربوني,4.5 من 5 نجوم,"‏21,999.00 جنيه"
لابتوب من اتش بي، بمعالج انتل، شاشة 15.6 بوصة، وذاكرة رام 16 جيجابايت,N/A,"‏48,650.00 جنيه"
لابتوب من ديل، بمعالج انتل، شاشة 14 بوصة، وذاكرة رام 16 جيجابايت,3.5 من 5 نجوم,"‏19,000.00 جنيه"
لابتوب من لينوفو، بمعالج انتل، شاشة 15.6 بوصة، وذاكرة رام 8 جيجابايت,3.8 من 5 نجوم,"‏36,677.00 جنيه"
لابتوب من ديل، بمعالج انتل، شاشة 15.6 بوصة، وذاكرة رام 8 جيجابايت,3.2 من 5 نجوم,"‏33,301.95 جنيه"
لاب توب اتش بي فيكتس انتل i5-13500H جيل 13/12 نواة/ذاكرة GDDR6 6 جيجا/انفيديا جي فورس RTX 4050/رام 16/SSD 512/شاشة 15.6 بوصة 1920×1080 144 هرتز IPS/لوحة مفاتيح بإضاءة خلفية، ميكا سيلفر 15-fa1018nia,N/A,"‏47,650.00 جنيه"
,3.0 من 5 نجوم,"‏60,800.00 جنيه"
لابتوب من ايسر، بمعالج AMD، شاشة 15.6 إنش، وذاكرة رام 8 جيجابايت,1.0 من 5 نجوم,"‏29,700.00 جنيه"
ديل لاب توب فوسترو 3530 N3404PVNB3530U03 i5-1334U 32GB 512SSD 15.6 FHD فري دوس -CNT004,5.0 من 5 نجوم,"‏39,999.00 جنيه"
لاب توب خفيف 13.3 بوصة 2015 – معالج قوي الجيل الخامس – رام 4GB – SSD 128GB – إضاءة خلفية – نظام تشغيل سريع – مستعمل بحالة ممتازة,N/A,"‏10,000.00 جنيه"
إعلانإعلان,3.8 من 5 نجوم,"‏53,950.00 جنيه"
إعلانإعلان,5.0 من 5 نجوم,"‏59,950.00 جنيه"
إعلانإعلان,4.8 من 5 نجوم,"‏47,990.00 جنيه"
إعلانإعلان,4.9 من 5 نجوم,"‏59,750.00 جنيه"
إعلانإعلان,1.0 من 5 نجوم,"‏46,888.00 جنيه"
إعلانإعلان,N/A,"‏145,999.00 جنيه"
إعلانإعلان,4.8 من 5 نجوم,"‏54,999.00 جنيه"
إعلانإعلان,4.8 من 5 نجوم,"‏50,999.00 جنيه"
لاب توب ديل لاتيتيود 5400 - انتل كور i5 -8265u، 1 تيرابايت، ذاكرة الرام 8 جيجابايت، مقاس الشاشة 14 بوصة، معالج الرسومات انتل الترا اتش دي 620، اوبنتو لون اسود,4.1 من 5 نجوم,"‏17,000.00 جنيه"
لابتوب من ايسر، بمعالج AMD، شاشة 15.6 إنش، وذاكرة رام 8 جيجابايت,1.0 من 5 نجوم,"‏29,700.00 جنيه"
لابتوب من اتش بي، بمعالج انتل، شاشة 16 بوصة، وذاكرة رام 32 جيجابايت,3.7 من 5 نجوم,"‏96,750.00 جنيه"
لابتوب من لينوفو، بمعالج AMD، شاشة 15.6 إنش، وذاكرة رام 8 جيجابايت,4.0 من 5 نجوم,"‏17,171.50 جنيه"
لابتوب من لينوفو، بمعالج انتل، شاشة 16 بوصة، وذاكرة رام 16 جيجابايت,4.0 من 5 نجوم,"‏48,500.00 جنيه"
لابتوب من لينوفو، بمعالج انتل، شاشة 16 بوصة، وذاكرة رام 16 جيجابايت,3.9 من 5 نجوم,"‏80,050.00 جنيه"
,4.6 من 5 نجوم,"‏48,000.00 جنيه"
